brand,product_name,recommended_filename
mesoestetic,"Anti-Stress Face Mask","star-aesthetic-medical-centre-mesoestetic-products-anti-stress-face-mask.webp"
mesoestetic,"Aox Ferulic","star-aesthetic-medical-centre-mesoestetic-products-aox-ferulic-advanced-antioxidant-concentrate.webp"
mesoestetic,"Fast Skin Repair","star-aesthetic-medical-centre-mesoestetic-products-fast-skin-repair.webp"
mesoestetic,"Melan Recovery","star-aesthetic-medical-centre-mesoestetic-products-melan-recovery-cosmeceutical-solution.webp"
mesoestetic,"Melan Tran3x Concentrate","star-aesthetic-medical-centre-mesoestetic-products-melan-tran3x-intensive-concentrate.webp"
mesoestetic,"Melan Tran3x Gel-Cream","star-aesthetic-medical-centre-mesoestetic-products-melan-tran3x-daily-gel-cream.webp"
mesoestetic,"Mesoprotech Melan 130+ Pigment Control","star-aesthetic-medical-centre-mesoestetic-products-mesoprotech-melan-130-plus-pigment-control.webp"
skinceuticals,"Glycolic 10 Renew Overnight","star-aesthetic-medical-centre-durban-skinceuticals-glycolic-10-renew-overnight-50ml.webp"
skinceuticals,"C E Ferulic","star-aesthetic-medical-centre-durban-skinceuticals-c-e-ferulic.webp"
skinceuticals,"Phloretin CF","star-aesthetic-medical-centre-durban-skinceuticals-phloretin-c-f.webp"
skinceuticals,"Hyaluronic Acid Intensifier","star-aesthetic-medical-centre-durban-skinceuticals-h-a-intensifier-30ml.webp"
skinceuticals,"Hydrating B5 Gel","star-aesthetic-medical-centre-durban-skinceuticals-hydrating-b5-gel-30ml.webp"
skinceuticals,"Gentle Cleanser","skinceuticals-gentle-cleanser-sensitive-dry-skin-wash.webp"
skinceuticals,"Glycolic Renewal Cleanser","skinceuticals-glycolic-renewal-cleanser-exfoliating-wash.webp"
skinceuticals,"Resveratrol BE","skinceuticals-resveratrol-be-night-antioxidant-serum.webp"
skinceuticals,"Serum 10 AOX","skinceuticals-serum-10-aox-vitamin-c-antioxidant.webp"
skinceuticals,"AGE Eye Complex","skinceuticals-age-eye-complex-anti-aging-treatment.webp"
skinceuticals,"AGE Interrupter Advanced","skinceuticals-age-interrupter-advanced-wrinkle-cream.webp"
skinceuticals,"Discoloration Defense","skinceuticals-discoloration-defense-dark-spot-corrector.webp"
skinceuticals,"Blemish + AGE Serum","skinceuticals-blemish-age-serum-acne-anti-aging-treatment.webp"
skinceuticals,"Phyto A+ Brightening Treatment","skinceuticals-phyto-a-plus-brightening-retinol-alternative.webp"
skinceuticals,"PTIOX","skinceuticals-ptiox-pollution-defense-antioxidant-serum.webp"
skinceuticals,"Retinol 0.3","skinceuticals-retinol-0-3-beginner-anti-aging-cream.webp"
skinceuticals,"Retinol 0.5","skinceuticals-retinol-0-5-intermediate-anti-aging-treatment.webp"
skinceuticals,"Retinol 1.0","skinceuticals-retinol-1-0-maximum-strength-anti-aging.webp"
skinceuticals,"Triple Lipid Restore","skinceuticals-triple-lipid-restore-anti-aging-ceramide-cream.webp"
skinceuticals,"Advanced Brightening UV Defense SPF50","skinceuticals-advanced-brightening-uv-defense-spf50-sunscreen.webp"
neostrata,"Ultra Smoothing Cream 10 AHA","star-aesthetic-neostrata-resurface-ultra-smoothing-cream-10-aha.webp"
neostrata,"Ultra Daytime Smoothing Cream SPF20","star-aesthetic-neostrata-resurface-ultra-daytime-smoothing-cream-spf20.webp"
neostrata,"Ultra Smoothing Lotion 10 AHA","star-aesthetic-neostrata-resurface-neostrata-ultra-smoothing-lotion-10aha.webp"
neostrata,"Face Cream Plus 15 AHA","star-aesthetic-neostrata-resurface-neostrata-face-cream-plus-15-aha.webp"
neostrata,"High Potency Cream 20 AHA","star-aesthetic-neostrata-resurface-neostrata-high-potency-cream-20-aha.webp"
neostrata,"Facial Cleanser","star-aesthetic-neostrata-restore-facial-cleanser.webp"
neostrata,"Ultra Moisturizing Face Cream","star-aesthetic-neostrata-restore-ultra-moisturizing-face-cream.webp"
neostrata,"Daytime Protection Cream SPF 23","star-aesthetic-neostrata-restore-daytime-protection-cream-spf-23-10-pha.webp"
neostrata,"Bionic Face Cream 12 PHA","star-aesthetic-neostrata-restore-bionic-face-cream-12-pha.webp"
neostrata,"Bionic Lotion 15 PHA","star-aesthetic-neostrata-restore-bionic-lotion-15-pha.webp"
neostrata,"Bio Hydrating Cream 15 PHA","star-aesthetic-neostrata-restore-bio-hydrating-cream-15-pha.webp"
neostrata,"Clarifying Facial Cleanser","star-aesthetic-neostrata-refine-clarifying-facial-cleanser.webp"
neostrata,"Sheer Hydration SPF 35","star-aesthetic-neostrata-refine-sheer-hydration-spf-35.webp"
neostrata,"Ultra Brightening Cleanser","star-aesthetic-neostrata-enlighten-ultra-brightening-cleanser.webp"
neostrata,"Pigment Controller","star-aesthetic-neostrata-enlighten-pigment-controller.webp"
neostrata,"Illuminating Serum","star-aesthetic-neostrata-enlighten-illuminating-serum.webp"
neostrata,"Skin Brightener SPF 35","star-aesthetic-neostrata-enlighten-skin-brightener.webp"
neostrata,"Dark Spot Corrector","star-aesthetic-neostrata-enlighten-dark-spot-corrector.webp"
neostrata,"Skin Active Exfoliating Wash","star-aesthetic-neostrata-skin-active-exfoliating-wash.webp"
neostrata,"Skin Active Matrix Support SPF 30","star-aesthetic-neostrata-skin-active-matrix-support-spf-30.webp"
neostrata,"Skin Active Intense Eye Therapy","star-aesthetic-neostrata-skin-active-intense-eye-therapy.webp"
neostrata,"Skin Active Cellular Restoration","star-aesthetic-neostrata-skin-active-cellular-restoration.webp"
neostrata,"Skin Active Triple Firming Neck Cream","star-aesthetic-neostrata-skin-active-triple-firming-neck-cream.webp"
neostrata,"Skin Active Tri-Therapy Lifting Serum","star-aesthetic-neostrata-skin-active-tri-therapy-lifting-serum.webp"